id_pais,ano,valor
2,2000,44.99
2,2001,45.6
2,2002,37.83
2,2003,36.66
2,2004,44.24
2,2005,33.88
2,2006,31.89
2,2007,28.78
2,2008,21.17
2,2009,16.53
2,2010,15.15
2,2011,12.61
2,2012,15.36
2,2013,16.89
2,2014,19.06
2,2015,17.69
2,2016,20.18
2,2017,19.48
2,2018,18.28
2,2019,18.87
2,2020,18.21
2,2021,19.98
4,2000,0.43
4,2001,0.43
4,2002,0.51
4,2003,0.47
4,2004,0.44
4,2005,0.58
4,2006,0.41
4,2007,0.41
4,2008,0.3
4,2009,0.31
4,2010,0.26
4,2011,0.18
4,2012,0.18
4,2013,0.13
4,2014,0.07
4,2015,0.06
4,2016,0.08
4,2017,0.14
4,2018,0.19
4,2019,0.16
4,2020,0.15
4,2021,0.12
219,2000,0.0
219,2001,0.0
219,2002,0.0
219,2003,0.0
219,2004,0.0
219,2005,0.0
219,2006,0.0
219,2007,0.0
219,2008,0.0
219,2009,0.0
219,2010,0.0
219,2011,0.0
219,2012,0.09
219,2013,0.16
219,2014,0.16
219,2015,0.17
219,2016,0.21
219,2017,0.35
219,2018,0.35
219,2019,0.36
219,2020,0.38
219,2021,0.39
5,2000,14.51
5,2001,15.39
5,2002,15.83
5,2003,16.52
5,2004,16.57
5,2005,16.61
5,2006,17.57
5,2007,16.56
5,2008,17.02
5,2009,17.13
5,2010,18.67
5,2011,18.55
5,2012,18.76
5,2013,19.14
5,2014,19.45
5,2015,19.05
5,2016,18.94
5,2017,17.98
5,2018,17.64
5,2019,17.19
5,2020,20.89
5,2021,18.39
6,2000,73.84
6,2001,72.75
6,2002,70.83
6,2003,65.57
6,2004,62.34
6,2005,68.86
6,2006,62.62
6,2007,58.92
6,2008,55.42
6,2009,53.0
6,2010,53.06
6,2011,51.66
6,2012,48.98
6,2013,46.78
6,2014,47.45
6,2015,47.12
6,2016,48.07
6,2017,52.55
6,2018,52.5
6,2019,50.97
6,2020,60.15
6,2021,52.88
220,2000,0.23
220,2001,0.21
220,2002,0.22
220,2003,0.21
220,2004,0.18
220,2005,0.17
220,2006,0.15
220,2007,0.15
220,2008,0.15
220,2009,0.15
220,2010,0.14
220,2011,0.15
220,2012,0.15
220,2013,0.16
220,2014,0.41
220,2015,0.35
220,2016,0.66
220,2017,0.69
220,2018,0.61
220,2019,0.72
220,2020,0.78
220,2021,0.77
7,2000,0.0
7,2001,0.0
7,2002,0.0
7,2003,0.0
7,2004,0.0
