id_unidade,cod_equipamento,nome_unidade,num_unidade,data_entrada_teste,data_entrada_operacao,data_desativacao,potencia_efetiva,combustivel,id_usina
1,ALUXG-0UG1,UG  527 MW USINA XINGO               1 AL,1.0,1997-08-22,1997-08-22,,527.0,HIDRÁULICA,1
2,ALUXG-0UG2,UG  527 MW USINA XINGO               2 AL,2.0,1996-12-20,1996-12-20,,527.0,HIDRÁULICA,1
3,ALUXG-0UG5,UG  527 MW USINA XINGO               5 AL,5.0,1995-01-31,1995-01-31,,527.0,HIDRÁULICA,1
4,ALUXG-0UG6,UG  527 MW USINA XINGO               6 AL,6.0,1994-04-30,1994-04-30,,527.0,HIDRÁULICA,1
5,ALUXG-0UG3,UG  527 MW USINA XINGO               3 AL,3.0,1996-07-31,1996-07-31,,527.0,HIDRÁULICA,1
6,ALUXG-0UG4,UG  527 MW USINA XINGO               4 AL,4.0,1995-10-26,1995-10-26,,527.0,HIDRÁULICA,1
7,ALBGMD0UG1,UG  1P6 MW POLO                      1 AL,1.0,2002-06-08,2002-06-09,2005-01-01,1.6,ÓLEO DIESEL,2
8,ALBGMD0UG10,UG  1P6 MW POLO                     10 AL,10.0,2002-06-08,2002-06-09,2005-01-01,1.6,ÓLEO DIESEL,2
9,ALBGMD0UG2,UG  1P6 MW POLO                      2 AL,2.0,2002-06-08,2002-06-09,2005-01-01,1.6,ÓLEO DIESEL,2
10,ALBGMD0UG3,UG  1P6 MW POLO                      3 AL,3.0,2002-06-08,2002-06-09,2005-01-01,1.6,ÓLEO DIESEL,2
11,ALBGMD0UG4,UG  1P6 MW POLO                      4 AL,4.0,2002-06-08,2002-06-09,2005-01-01,1.6,ÓLEO DIESEL,2
12,ALBGMD0UG5,UG  1P6 MW POLO                      5 AL,5.0,2002-06-08,2002-06-09,2005-01-01,1.6,ÓLEO DIESEL,2
13,ALBGMD0UG6,UG  1P6 MW POLO                      6 AL,6.0,2002-06-08,2002-06-09,2005-01-01,1.6,ÓLEO DIESEL,2
14,ALBGMD0UG7,UG  1P6 MW POLO                      7 AL,7.0,2002-06-08,2002-06-09,2005-01-01,1.6,ÓLEO DIESEL,2
15,ALBGMD0UG8,UG  1P6 MW POLO                      8 AL,8.0,2002-06-08,2002-06-09,2005-01-01,1.6,ÓLEO DIESEL,2
16,ALBGMD0UG9,UG  1P6 MW POLO                      9 AL,9.0,2002-06-08,2002-06-09,2005-01-01,1.6,ÓLEO DIESEL,2
17,ALBERL0UG90,UG 1P64 MW RIO LARGO                90 AL,90.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
18,ALBERL0UG91,UG 1P64 MW RIO LARGO                91 AL,91.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
19,ALBERL0UG92,UG 1P64 MW RIO LARGO                92 AL,92.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
20,ALBERL0UG93,UG 1P64 MW RIO LARGO                93 AL,93.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
21,ALBERL0UG94,UG 1P64 MW RIO LARGO                94 AL,94.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
22,ALBERL0UG95,UG 1P64 MW RIO LARGO                95 AL,95.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
23,ALBERL0UG96,UG 1P64 MW RIO LARGO                96 AL,96.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
24,ALBERL0UG97,UG 1P64 MW RIO LARGO                97 AL,97.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
25,ALBERL0UG83,UG 1P64 MW RIO LARGO                83 AL,83.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
26,ALBERL0UG98,UG 1P64 MW RIO LARGO                98 AL,98.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
27,ALBERL0UG99,UG 1P64 MW RIO LARGO                99 AL,99.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
28,ALBERL0UG4,UG 1P64 MW RIO LARGO                 4 AL,4.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
29,ALBERL0UG40,UG 1P64 MW RIO LARGO                40 AL,40.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
30,ALBERL0UG41,UG 1P64 MW RIO LARGO                41 AL,41.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
31,ALBERL0UG42,UG 1P64 MW RIO LARGO                42 AL,42.0,2002-07-30,2002-08-05,2006-01-01,1.64,ÓLEO DIESEL,3
