id_usina,nome_usina,ceg,tipo_usina,modalidade_operacao,agente_proprietario,estado_nome,cod_estado,subsistema_nome,cod_subsistema,cod_pais
1,XINGÓ,UHE.PH.SE.027053-9.01,HIDROELÉTRICA,TIPO I,CHESF,ALAGOAS,AL,NORDESTE,NE,BRA
2,PÓLO CLOROQUÍMICO GEBRA,UTE.PE.AL.028623-0.01,TÉRMICA,TIPO I,GEBRA,ALAGOAS,AL,NORDESTE,NE,BRA
3,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6.01,TÉRMICA,TIPO I,BRASYMPE,ALAGOAS,AL,NORDESTE,NE,BRA
4,USI PERI-PERI,UTE.PE.AL.028621-4.01,TÉRMICA,TIPO I,GEBRA,ALAGOAS,AL,NORDESTE,NE,BRA
5,APOLÔNIO SALES,UHE.PH.AL.001510-5.01,HIDROELÉTRICA,TIPO I,CHESF,BAHIA,BA,NORDESTE,NE,BRA
6,ITAPEBI,UHE.PH.BA.001175-4.01,HIDROELÉTRICA,TIPO I,AHE ITAPEBI,BAHIA,BA,NORDESTE,NE,BRA
7,PAULO AFONSO I,UHE.PH.BA.002012-5.01,HIDROELÉTRICA,TIPO I,CHESF,BAHIA,BA,NORDESTE,NE,BRA
8,PAULO AFONSO II,UHE.PH.BA.027048-2.01,HIDROELÉTRICA,TIPO I,CHESF,BAHIA,BA,NORDESTE,NE,BRA
9,PAULO AFONSO III,UHE.PH.BA.027049-0.01,HIDROELÉTRICA,TIPO I,CHESF,BAHIA,BA,NORDESTE,NE,BRA
10,PAULO AFONSO IV,UHE.PH.BA.027050-4.01,HIDROELÉTRICA,TIPO I,CHESF,BAHIA,BA,NORDESTE,NE,BRA
11,PEDRA DO CAVALO,UHE.PH.BA.028565-0.01,HIDROELÉTRICA,TIPO I,VOTORANTIM CIMENTOS,BAHIA,BA,NORDESTE,NE,BRA
12,SOBRADINHO,UHE.PH.BA.002755-3.01,HIDROELÉTRICA,TIPO I,CHESF,BAHIA,BA,NORDESTE,NE,BRA
13,APOENA,UTE.PE.BA.029554-0.01,TÉRMICA,TIPO I,S FRANCISCO,BAHIA,BA,NORDESTE,NE,BRA
14,CAMAÇARI,UTE.GN.BA.000602-5.01,TÉRMICA,TIPO I,CHESF,BAHIA,BA,NORDESTE,NE,BRA
15,GLOBAL I,UTE.PE.BA.029653-8.01,TÉRMICA,TIPO I,CEC CANDEIAS,BAHIA,BA,NORDESTE,NE,BRA
16,GLOBAL II,UTE.PE.BA.029639-2.01,TÉRMICA,TIPO I,CEC CANDEIAS,BAHIA,BA,NORDESTE,NE,BRA
17,GUARANI,UTE.PE.BA.029555-8.01,TÉRMICA,TIPO I,S FRANCISCO,BAHIA,BA,NORDESTE,NE,BRA
18,JAGUARARI,UTE.PE.BA.028527-7.01,TÉRMICA,TIPO I,ENGUIA GEN BA,BAHIA,BA,NORDESTE,NE,BRA
19,NORDESTE GENERATION,UTE.PE.BA.028645-1.01,TÉRMICA,TIPO I,NE GENERATION,BAHIA,BA,NORDESTE,NE,BRA
20,TERMOBAHIA,UTE.GN.BA.027263-9.01,TÉRMICA,TIPO I,PETROBRAS,BAHIA,BA,NORDESTE,NE,BRA
21,TERMOCAMAÇARI,UTE.GN.BA.028206-5.01,TÉRMICA,TIPO I,PETROBRAS,BAHIA,BA,NORDESTE,NE,BRA
22,ICARAIZINHO,EOL.CV.CE.028699-0.01,EOLIELÉTRICA,TIPO I,CPFL ENERGIAS,CEARA,CE,NORDESTE,NE,BRA
23,PRAIA FORMOSA,EOL.CV.CE.028631-1.01,EOLIELÉTRICA,TIPO I,CPFL ENERGIAS,CEARA,CE,NORDESTE,NE,BRA
24,AQUIRAZ,UTE.PE.CE.028555-2.01,TÉRMICA,TIPO I,CGE,CEARA,CE,NORDESTE,NE,BRA
25,BREITENER,UTE.PE.CE.028514-5.01,TÉRMICA,TIPO I,BREITENER,CEARA,CE,NORDESTE,NE,BRA
26,CAGECE,UTE.PE.CE.028551-0.01,TÉRMICA,TIPO I,CGE,CEARA,CE,NORDESTE,NE,BRA
27,COLUNA,UTE.PE.CE.028550-1.01,TÉRMICA,TIPO I,CGE,CEARA,CE,NORDESTE,NE,BRA
28,DISTRITO INDUSTRIAL I,UTE.PE.CE.028548-0.01,TÉRMICA,TIPO I,CGE,CEARA,CE,NORDESTE,NE,BRA
29,DISTRITO INDUSTRIAL II,UTE.PE.CE.028549-8.01,TÉRMICA,TIPO I,CGE,CEARA,CE,NORDESTE,NE,BRA
30,FORTALEZA,UTE.GN.CE.028357-6.01,TÉRMICA,TIPO I,ENEVA,CEARA,CE,NORDESTE,NE,BRA
31,JABOTI,UTE.PE.CE.028556-0.01,TÉRMICA,TIPO I,CGE,CEARA,CE,NORDESTE,NE,BRA
32,MARACANAÚ I,UTE.PE.CE.029654-6.01,TÉRMICA,TIPO I,MARACANAÚ GERAÇÃO,CEARA,CE,NORDESTE,NE,BRA
33,MARANGUAPE,UTE.PE.CE.028552-8.01,TÉRMICA,TIPO I,CGE,CEARA,CE,NORDESTE,NE,BRA
34,PACAJUS,UTE.PE.CE.028554-4.01,TÉRMICA,TIPO I,CGE,CEARA,CE,NORDESTE,NE,BRA
35,PARAIPABA,UTE.PE.CE.028553-6.01,TÉRMICA,TIPO I,CGE,CEARA,CE,NORDESTE,NE,BRA
36,PORTO DO PECÉM I,UTE.CM.CE.029720-8.01,TÉRMICA,TIPO I,PORTO PECEM,CEARA,CE,NORDESTE,NE,BRA
37,PORTO DO PECÉM II,UTE.CM.CE.030098-5.01,TÉRMICA,TIPO I,PECEM II,CEARA,CE,NORDESTE,NE,BRA
38,TERMOCEARÁ,UTE.GN.CE.028358-4.01,TÉRMICA,TIPO I,PETROBRAS,CEARA,CE,NORDESTE,NE,BRA
39,CAMPINA GRANDE,UTE.PE.PB.000612-2.01,TÉRMICA,TIPO I,BORBOREMA ENERGETICA,PARAIBA,PB,NORDESTE,NE,BRA
40,TERMONORDESTE,UTE.PE.PB.029641-4.01,TÉRMICA,TIPO I,EPASA,PARAIBA,PB,NORDESTE,NE,BRA
41,TERMOPARAÍBA,UTE.PE.PB.029638-4.01,TÉRMICA,TIPO I,EPASA,PARAIBA,PB,NORDESTE,NE,BRA
42,USI GIASA,UTE.AI.PB.028391-6.01,TÉRMICA,TIPO I,GIASA,PARAIBA,PB,NORDESTE,NE,BRA
43,LUIZ GONZAGA,UHE.PH.PE.001174-6.01,HIDROELÉTRICA,TIPO I,CHESF,PERNAMBUCO,PE,NORDESTE,NE,BRA
44,CABO,UTE.PE.PE.028493-9.01,TÉRMICA,TIPO I,TERMO NC,PERNAMBUCO,PE,NORDESTE,NE,BRA
