id_pais,ano,valor
2,1990,0.284
2,1991,0.292
2,1992,0.299
2,1993,0.307
2,1994,0.3
2,1995,0.318
2,1996,0.326
2,1997,0.33
2,1998,0.329
2,1999,0.337
2,2000,0.34
2,2001,0.344
2,2002,0.368
2,2003,0.379
2,2004,0.395
2,2005,0.402
2,2006,0.41
2,2007,0.426
2,2008,0.431
2,2009,0.441
2,2010,0.449
2,2011,0.457
2,2012,0.467
2,2013,0.475
2,2014,0.48
2,2015,0.479
2,2016,0.483
2,2017,0.485
2,2018,0.486
2,2019,0.492
2,2020,0.488
2,2021,0.473
2,2022,0.462
3,1990,0.649
3,1991,0.632
3,1992,0.616
3,1993,0.618
3,1994,0.623
3,1995,0.632
3,1996,0.644
3,1997,0.641
3,1998,0.656
3,1999,0.668
3,2000,0.678
3,2001,0.687
3,2002,0.692
3,2003,0.701
3,2004,0.707
3,2005,0.72
3,2006,0.728
3,2007,0.74
3,2008,0.747
3,2009,0.752
3,2010,0.766
3,2011,0.779
3,2012,0.789
3,2013,0.793
3,2014,0.797
3,2015,0.797
3,2016,0.795
3,2017,0.796
3,2018,0.797
3,2019,0.8
3,2020,0.784
3,2021,0.785
3,2022,0.789
4,1990,0.593
4,1991,0.596
4,1992,0.601
4,1993,0.602
4,1994,0.603
4,1995,0.607
4,1996,0.618
4,1997,0.626
4,1998,0.635
4,1999,0.644
4,2000,0.652
4,2001,0.659
4,2002,0.668
4,2003,0.675
4,2004,0.683
4,2005,0.69
4,2006,0.696
4,2007,0.701
4,2008,0.709
4,2009,0.716
4,2010,0.721
4,2011,0.725
4,2012,0.726
4,2013,0.729
4,2014,0.732
4,2015,0.736
4,2016,0.738
4,2017,0.738
4,2018,0.74
4,2019,0.742
4,2020,0.73
4,2021,0.74
4,2022,0.745
5,2000,0.815
5,2001,0.823
5,2002,0.828
5,2003,0.836
5,2004,0.828
5,2005,0.828
5,2006,0.842
5,2007,0.851
5,2008,0.857
5,2009,0.859
5,2010,0.863
5,2011,0.867
5,2012,0.867
5,2013,0.851
5,2014,0.854
5,2015,0.856
5,2016,0.859
5,2017,0.86
5,2018,0.863
5,2019,0.865
5,2020,0.843
5,2021,0.855
5,2022,0.884
6,1999,0.369
6,2000,0.38
6,2001,0.39
6,2002,0.406
6,2003,0.424
6,2004,0.437
6,2005,0.451
6,2006,0.463
6,2007,0.48
6,2008,0.492
6,2009,0.506
6,2010,0.516
6,2011,0.533
6,2012,0.545
6,2013,0.555
6,2014,0.565
6,2015,0.591
6,2016,0.595
6,2017,0.597
6,2018,0.598
6,2019,0.597
6,2020,0.594
6,2021,0.59
6,2022,0.591
7,2007,0.816
7,2008,0.816
7,2009,0.81
7,2010,0.808
7,2011,0.805
7,2012,0.811
7,2013,0.812
7,2014,0.815
7,2015,0.818
7,2016,0.822
7,2017,0.824
7,2018,0.828
7,2019,0.831
7,2020,0.82
7,2021,0.819
7,2022,0.826
8,1990,0.724
8,1991,0.731
8,1992,0.736
8,1993,0.74
8,1994,0.746
8,1995,0.747
8,1996,0.752
8,1997,0.758
8,1998,0.764
8,1999,0.774
8,2000,0.78
8,2001,0.785
8,2002,0.785
8,2003,0.793
8,2004,0.798
8,2005,0.802
8,2006,0.814
8,2007,0.817
8,2008,0.825
8,2009,0.827
8,2010,0.834
8,2011,0.842
8,2012,0.844
8,2013,0.846
8,2014,0.847
8,2015,0.85
8,2016,0.848
8,2017,0.853
8,2018,0.852
8,2019,0.853
8,2020,0.841
8,2021,0.844
8,2022,0.849
9,1990,0.658
9,1991,0.646
9,1992,0.611
9,1993,0.613
9,1994,0.617
9,1995,0.623
9,1996,0.627
9,1997,0.635
9,1998,0.647
9,1999,0.651
9,2000,0.656
9,2001,0.661
9,2002,0.67
9,2003,0.681
9,2004,0.689
9,2005,0.701
9,2006,0.714
9,2007,0.73
9,2008,0.733
9,2009,0.732
9,2010,0.739
9,2011,0.743
9,2012,0.751
9,2013,0.757
9,2014,0.764
9,2015,0.769
9,2016,0.773
9,2017,0.775
9,2018,0.781
9,2019,0.789
9,2020,0.769
9,2021,0.774
9,2022,0.786
11,1990,0.864
11,1991,0.866
11,1992,0.868
11,1993,0.873
11,1994,0.873
11,1995,0.882
11,1996,0.884
11,1997,0.887
11,1998,0.891
11,1999,0.894
11,2000,0.896
11,2001,0.9
11,2002,0.902
11,2003,0.906
11,2004,0.908
11,2005,0.911
11,2006,0.914
11,2007,0.916
11,2008,0.92
11,2009,0.922
11,2010,0.924
11,2011,0.927
11,2012,0.931
11,2013,0.929
11,2014,0.931
11,2015,0.933
11,2016,0.936
11,2017,0.937
11,2018,0.941
11,2019,0.941
11,2020,0.948
11,2021,0.949
11,2022,0.946
12,1990,0.823
12,1991,0.826
12,1992,0.832
12,1993,0.836
12,1994,0.841
12,1995,0.847
12,1996,0.852
12,1997,0.856
12,1998,0.861
12,1999,0.865
12,2000,0.87
12,2001,0.874
12,2002,0.878
12,2003,0.88
12,2004,0.886
12,2005,0.889
12,2006,0.893
12,2007,0.896
12,2008,0.899
12,2009,0.898
12,2010,0.903
12,2011,0.907
12,2012,0.909
12,2013,0.907
12,2014,0.911
12,2015,0.91
12,2016,0.913
12,2017,0.914
12,2018,0.917
12,2019,0.92
12,2020,0.916
12,2021,0.92
12,2022,0.926
13,1995,0.6
13,1996,0.603
13,1997,0.609
13,1998,0.618
13,1999,0.628
13,2000,0.635
13,2001,0.644
13,2002,0.654
13,2003,0.663
13,2004,0.67
13,2005,0.682
13,2006,0.701
13,2007,0.714
13,2008,0.723
13,2009,0.729
13,2010,0.733
13,2011,0.735
13,2012,0.739
13,2013,0.745
13,2014,0.749
13,2015,0.751
13,2016,0.752
13,2017,0.754
13,2018,0.757
13,2019,0.762
13,2020,0.722
13,2021,0.738
13,2022,0.76
14,1990,0.76
14,1991,0.757
14,1992,0.762
14,1993,0.762
14,1994,0.765
14,1995,0.773
14,1996,0.778
14,1997,0.775
