agente,total_usinas
VALE,17
AUREN OPERAÇÕES,16
ELETROBRAS,15
OMEGA EI 1,15
PETROBRAS,14
SANTA TEREZA 04,14
CEMIG GT,13
MENDUBIM GERAÇÃO,13
ELETRONORTE,13
CHESF,13
CGT ELETROSUL,11
ENGIE,10
HELIO VALGAS,10
BELMONTE 2 5,9
CGE,9
RIO PARANAPANEMA,8
MONTE VERDE I,8
AROEIRA 01,8
LARANJEIRAS III,8
ENEVA,7
RIBEIRO GONCALVES,7
ENGUIA GEN CE,7
BRASYMPE,6
CVER,6
TERMO NC,6
SERIDÓ II,6
LIGHT MILAGRES I,5
RORAIMA ENERGIA,5
FUTURA 4,5
EDP RENOVÁVEIS,5
LIGHT GT,5
ECHOENERGIA,5
LAR DO SOL IV,5
RIO ALTO STL V,5
BONS VENTOS CACIMBAS,5
CPFL ENERGIAS,5
COPEL-GT,5
FUTURA 1,5
SOLATIO I,5
JAIBA N ENERGIAS REN,4
BRENCO,4
SÃO JOAO PARACATU I,4
FUTURA 5,4
PARACATU I,4
BARREIRAS XVIII,4
IMETAME,4
COFCO,4
ENGUIA GEN PI,4
HERMENEGILDO II,4
JANDAIRA I,4
GEBRA,4
FUTURA 2,4
HERMENEGILDO I,4
FUTURA 3,4
KARPOWERSHIP,4
CBA,4
PARNAÍBA II,3
CERAN,3
PEDRANOPOLIS,3
OSLO V,3
DIAMANTE GERAÇÃO,3
SOL DO SERTÃO OB I,3
LAR DO SOL V,3
S FRANCISCO,3
SÃO JOAO PARACATU II,3
SOL DO SERTAO OB III,3
SPE2 MUNDO NOVO,3
HERMENEGILDO III,3
B BIOENERGIA,3
PARNAÍBA G C,3
SÃO RICARDO 12,3
EOL DELFINA A,3
ITUVERAVA SUL SOLAR,3
EOL JAU,3
HORIZONTE MP,3
AMAZONAS GT,3
OSLO X,3
VITERRA,3
UNHA DANTA,3
VENTOS DO SUL,3
VENTO ENERGIAS,3
ALIANÇA,3
MARAL I,2
ECM II,2
CSN,2
B JESUS DA LAPA SOLA,2
CEC CANDEIAS,2
NOVA LAPA SOLAR,2
KINROSS,2
VCP - MS CELULOSE SUL MT,2
MORRO DO CHAPÉU II,2
STATKRAFT,2
CEP,2
ITUVERAVA,2
CRISTALANDIA II,2
SÃO ROQUE 01,2
SOLATIO VARZEA 34,2
BRACELL SP,2
GERA MARANHAO,2
DUNAMIS,2
CEEE-G,2
AMBAR URUGUAIANA,2
GUARANI S.A.,2
RIO PARANA ENERGIA,2
NEW ENERGY,2
MORRO DO CHAPÉU I,2
ADECOAGRO ENERGIA,2
SANTA ESPERANÇA 15,2
REVATI,2
VENTOS DE V CEARÁ II,2
BRASIL CENTRAL ENERGIA,2
NEO REN,2
TUCANO F2,2
VENTOS DOS ÍNDIOS,2
VENTOS DA LAGOA,2
SOL DO SERTÃO OB II,2
CESP,2
N OLINDA NORTE SOLAR,2
VENTOS DO LITORAL,2
EPESA,2
ARAXA,2
OSLO III,2
N OLINDA B SOLAR,2
KLABIN,2
BON NOME,2
EPASA,2
CCBE,2
ENEL SOLUCOES,2
ELETROGOES,2
DA MATA,2
TROPICAL BIOENERGIA,2
ENERGIMP,2
CERRADINHO,2
ACAUA II,2
ENEL,2
ELETRONUCLEAR,2
SANTO INÁCIO III,2
N OLINDA C SOLAR,2
TERMONORTE,2
VIRALCOOL,2
SPEPI,2
VISTA ALEGRE V,2
ELEJOR,2
ITUVERAVA SOLAR,2
