estado,capacidade_total_mw
PARA,22120.13
BAHIA,21475.11
MINAS GERAIS,18977.55
SAO PAULO,18180.63
RIO GRANDE DO NORTE,11965.07
RIO DE JANEIRO,11028.98
SANTA CATARINA,9453.38
PARANA,8944.85
RIO GRANDE DO SUL,7414.28
GOIAS,7178.21
DADOS REF. PARAGUAI,7000.0
PIAUI,6762.43
CEARA,6117.94
PERNAMBUCO,5417.64
RONDONIA,4477.25
MARANHAO,4345.56
ALAGOAS,3371.12
MATO GROSSO,2606.46
AMAZONAS,2081.75
PARAIBA,2046.31
MATO GROSSO DO SUL,1753.59
SERGIPE,1690.76
TOCANTINS,1401.25
ESPIRITO SANTO,1084.19
AMAPA,1060.87
RORAIMA,561.54
ACRE,89.34
DISTRITO FEDERAL,10.0
