estado,capacidade_renovavel_mw,percentual_do_total_nacional,investimento_nacional_total_usd
BAHIA,11057.64,30.09,6486790000.0
RIO GRANDE DO NORTE,9898.43,26.94,6486790000.0
PIAUI,4395.85,11.96,6486790000.0
CEARA,2680.67,7.29,6486790000.0
RIO GRANDE DO SUL,2055.19,5.59,6486790000.0
SAO PAULO,1956.25,5.32,6486790000.0
GOIAS,1048.73,2.85,6486790000.0
PERNAMBUCO,958.12,2.61,6486790000.0
PARAIBA,933.64,2.54,6486790000.0
MATO GROSSO DO SUL,701.28,1.91,6486790000.0
MARANHAO,426.0,1.16,6486790000.0
SANTA CATARINA,222.0,0.6,6486790000.0
MINAS GERAIS,152.4,0.41,6486790000.0
MATO GROSSO,127.7,0.35,6486790000.0
RORAIMA,96.84,0.26,6486790000.0
RONDONIA,24.0,0.07,6486790000.0
PARANA,12.0,0.03,6486790000.0
